Process,Category,Metric,Timestamp,TimestampRaw,Value
Global,CPU Core Load,CPU 0 Load,20097051,1764640481408529,0.0
Global,CPU Core Load,CPU 0 Load,20152839,1764640481464317,111360000.0
Global,CPU Core Load,CPU 0 Load,20207404,1764640481518882,222720000.0
Global,CPU Core Load,CPU 0 Load,20259714,1764640481571192,317376000.0
Global,CPU Core Load,CPU 0 Load,20315489,1764640481626967,0.0
Global,CPU Core Load,CPU 0 Load,20371227,1764640481682705,139200000.0
Global,CPU Core Load,CPU 0 Load,20434156,1764640481745634,306240000.0
Global,CPU Core Load,CPU 0 Load,20494220,1764640481805698,222720000.0
Global,CPU Core Load,CPU 0 Load,20550251,1764640481861729,111360000.0
Global,CPU Core Load,CPU 0 Load,20613825,1764640481925303,222720000.0
Global,CPU Core Load,CPU 0 Load,20672347,1764640481983825,317376000.0
Global,CPU Core Load,CPU 0 Load,20729768,1764640482041246,183744000.0
Global,CPU Core Load,CPU 0 Load,20786360,1764640482097838,222720000.0
Global,CPU Core Load,CPU 0 Load,20852695,1764640482164173,278400000.0
Global,CPU Core Load,CPU 0 Load,20908520,1764640482219998,111360000.0
Global,CPU Core Load,CPU 0 Load,20965346,1764640482276824,278400000.0
Global,CPU Core Load,CPU 0 Load,21021283,1764640482332761,0.0
Global,CPU Core Load,CPU 0 Load,21085414,1764640482396892,317376000.0
Global,CPU Core Load,CPU 0 Load,21140782,1764640482452260,222720000.0
Global,CPU Core Load,CPU 0 Load,21203392,1764640482514870,111360000.0
